fips,lgbm_mae,lgbm_rmse,lgbm_wape,actual,predicted,county_name,stateabbr,risk_tier,prophet_mae,prophet_rmse,prophet_wape,winner,wape_diff
01001,0.010522452138170324,0.010522452138170324,0.027045310867528684,0.3890675241157556,0.3785450719775853,Autauga,AL,Moderate,0.0020230032026264,0.0020230032026264,0.0051996198017919,Prophet,-0.021845691065736784
01003,0.005166569418218081,0.005166569418218081,0.012360023762044797,0.41800643086816713,0.41283986144994905,Baldwin,AL,Moderate,0.026282063725552,0.026282063725552,0.0628747832203591,LightGBM,0.050514759458314296
01005,0.007619421330019471,0.007619421330019471,0.01117754732847196,0.6816720257234727,0.6740526043934533,Barbour,AL,High,0.0230152961251187,0.0230152961251187,0.0337630051646789,LightGBM,0.02258545783620694
01007,0.011172487420777477,0.011172487420777477,0.020682402308701164,0.540192926045016,0.5290204386242385,Bibb,AL,High,0.0171009252343237,0.0171009252343237,0.0316570699278254,LightGBM,0.010974667619124238
01009,0.0014874971374707613,0.0014874971374707613,0.0033281410773626386,0.44694533762057875,0.4484328347580495,Blount,AL,Moderate,0.0010689638583875,0.0010689638583875,0.0023917105032986,Prophet,-0.0009364305740640387
01011,0.03319272453768862,0.03319272453768862,0.03767495376358088,0.8810289389067524,0.8478362143690638,Bullock,AL,Critical,0.0886174954332311,0.0886174954332311,0.1005840915318791,LightGBM,0.0629091377682982
01013,0.0060257999570864085,0.0060257999570864085,0.009323501426138673,0.6463022508038585,0.6402764508467721,Butler,AL,High,0.0284392300599204,0.0284392300599204,0.0440029878041555,LightGBM,0.03467948637801683
01015,0.005546325117813611,0.005546325117813611,0.011814432271507075,0.46945337620578775,0.46390705108797414,Calhoun,AL,Moderate,0.0111334609903822,0.0111334609903822,0.0237157970411566,LightGBM,0.011901364769649524
01017,0.000554063157101492,0.000554063157101492,0.0009264174293471183,0.5980707395498392,0.5975166763927378,Chambers,AL,High,0.0078190854286613,0.0078190854286613,0.0130738471414714,LightGBM,0.012147429712124281
01019,0.004273319018498811,0.004273319018498811,0.007508487089000735,0.5691318327974277,0.5648585137789289,Cherokee,AL,High,0.0103452702976379,0.0103452702976379,0.0181772828393526,LightGBM,0.010668795750351866
01021,0.006821523747614577,0.006821523747614577,0.015373144097885028,0.44372990353697744,0.43690837978936287,Chilton,AL,Moderate,0.0128535816873832,0.0128535816873832,0.0289671297447549,LightGBM,0.013593985646869873
01023,0.010496454552037515,0.010496454552037515,0.014704492638214715,0.7138263665594856,0.7033299120074481,Choctaw,AL,High,0.0273563745831997,0.0273563745831997,0.038323569798987,LightGBM,0.023619077160772287
01025,0.004642862851950036,0.004642862851950036,0.007520470557064904,0.6173633440514468,0.6127204811994967,Clarke,AL,High,0.0247169180123402,0.0247169180123402,0.0400362578220719,LightGBM,0.032515787265007
01027,0.0009182367962309312,0.0009182367962309312,0.0015953723107699422,0.5755627009646301,0.5746444641683992,Clay,AL,High,0.0272908373072485,0.0272908373072485,0.0474159240366162,LightGBM,0.04582055172584626
01029,0.00399120773680145,0.00399120773680145,0.008220302027451993,0.4855305466237942,0.48153933888699274,Cleburne,AL,Moderate,0.0009067209995666,0.0009067209995666,0.0018674849726174,Prophet,-0.006352817054834593
01031,0.0060214908194574646,0.0060214908194574646,0.012915059619663943,0.46623794212218644,0.460216451302729,Coffee,AL,Moderate,0.0260608640133434,0.0260608640133434,0.0558960600562055,LightGBM,0.04298100043654156
01033,0.0046141017425846975,0.0046141017425846975,0.009503216171813517,0.4855305466237942,0.4809164448812095,Colbert,AL,Moderate,0.0046885987384795,0.0046885987384795,0.0096566503819015,LightGBM,0.00015343421008798264
01035,0.012971936021644148,0.012971936021644148,0.01594573953648747,0.8135048231511255,0.8264767591727696,Conecuh,AL,Critical,0.032308257886383,0.032308257886383,0.0397148940816803,LightGBM,0.023769154545192833
01037,0.007762806653576759,0.007762806653576759,0.011776745703718889,0.6591639871382636,0.6514011804846869,Coosa,AL,High,0.0107242018395804,0.0107242018395804,0.0162693988883391,LightGBM,0.0044926531846202124
01039,0.007482406757525983,0.007482406757525983,0.013221752849946481,0.5659163987138264,0.5584339919563004,Covington,AL,High,0.0011433701485711,0.0011433701485711,0.0020203870238955,Prophet,-0.01120136582605098
01041,0.00033028493485509625,0.00033028493485509625,0.0005972012484879937,0.5530546623794212,0.5527243774445662,Crenshaw,AL,High,0.008855329514591,0.008855329514591,0.0160116713897546,LightGBM,0.015414470141266604
01043,0.004280729452797616,0.004280729452797616,0.009935125819552677,0.4308681672025723,0.4265874377497747,Cullman,AL,Moderate,0.001549555553126,0.001549555553126,0.0035963565449417,Prophet,-0.006338769274610977
01045,0.0017742947640304596,0.0017742947640304596,0.003448785447584206,0.5144694533762058,0.5126951586121753,Dale,AL,High,0.0281670549516945,0.0281670549516945,0.0547497130623563,LightGBM,0.05130092761477209
01047,0.01468150431819859,0.01468150431819859,0.018945841672032206,0.77491961414791,0.7896011184661086,Dallas,AL,Critical,0.0036308557193532,0.0036308557193532,0.004685461115016,Prophet,-0.014260380557016205
